presidente,inicio,fim,mandato
Fernando Henrique Cardoso,01/01/1999,31/12/2002,2
Luiz Inácio Lula da Silva,01/01/2003,31/12/2006,1
Luiz Inácio Lula da Silva,01/01/2007,31/12/2010,2
Dilma Rousseff,01/01/2011,31/12/2014,1
Dilma Rousseff,01/01/2015,30/08/2016,2
Michel Temer,31/08/2016,01/01/2019,1
Jair Bolsonaro,01/01/2019,31/12/2022,1
Luiz Inácio Lula da Silva,01/01/2023,31/12/2026,3
